         9799937 function calls (9765880 primitive calls) in 31.497 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   308300    0.054    0.000    0.073    0.000 {method 'get' of 'dict' objects}
    11202    0.015    0.000    0.071    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:1902(__init__)
  204/190    0.002    0.000    0.069    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:438(_get_tick1line)
      100    0.000    0.000    0.065    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:1841(add_patch)
1632/1352    0.004    0.000    0.064    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/spines.py:440(get_spine_transform)
     1834    0.006    0.000    0.064    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:1410(transform)
   335284    0.063    0.000    0.063    0.000 {method 'rstrip' of 'bytes' objects}
        7    0.000    0.000    0.063    0.009 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/figure.py:1972(get_tightbbox)
     1382    0.005    0.000    0.063    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:1624(check_gc)
        8    0.000    0.000    0.062    0.008 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/collections.py:859(draw)
    25002    0.062    0.000    0.062    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/emcee/ensemble.py:385(<listcomp>)
        7    0.000    0.000    0.062    0.009 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:3982(get_tightbbox)
      520    0.003    0.000    0.061    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:214(get_text_width_height_descent)
      204    0.002    0.000    0.061    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:464(_get_gridline)
  204/190    0.002    0.000    0.061    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:449(_get_tick2line)
        7    0.001    0.000    0.060    0.009 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:958(<listcomp>)
2698/1933    0.002    0.000    0.060    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:2407(_invalidate_internal)
     3073    0.005    0.000    0.060    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/markers.py:200(_recache)
1688/1352    0.001    0.000    0.060    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/spines.py:161(_ensure_position_is_set)
  190/176    0.002    0.000    0.060    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:558(_get_tick1line)
     1792    0.003    0.000    0.059    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:952(get_char_width)
       56    0.000    0.000    0.059    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/spines.py:395(set_position)
     8588    0.006    0.000    0.059    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/six.py:583(itervalues)
4542/2330    0.015    0.000    0.058    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:2477(get_affine)
      190    0.002    0.000    0.057    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:587(_get_gridline)
    23166    0.056    0.000    0.056    0.000 {built-in method builtins.iter}
  190/176    0.002    0.000    0.056    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:573(_get_tick2line)
       14    0.000    0.000    0.054    0.004 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:1082(get_tightbbox)
      409    0.001    0.000    0.054    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/lines.py:951(get_path)
     1268    0.004    0.000    0.053    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:1503(transform_point)
      126    0.001    0.000    0.053    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/backends/backend_pdf.py:2011(draw_text)
       14    0.000    0.000    0.053    0.004 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:642(__init__)
       14    0.000    0.000    0.051    0.004 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:841(_update_transScale)
       14    0.000    0.000    0.051    0.004 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:1717(set)
     1405    0.002    0.000    0.050    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/font_manager.py:1462(findfont)
   172555    0.049    0.000    0.049    0.000 {method 'write' of '_io.BufferedWriter' objects}
      100    0.001    0.000    0.049    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axes/_base.py:1859(_update_patch_limits)
      136    0.001    0.000    0.048    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/patches.py:556(get_window_extent)
     4839    0.009    0.000    0.048    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/colors.py:119(to_rgba)
     1405    0.005    0.000    0.047    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/font_manager.py:1248(findfont)
        4    0.000    0.000    0.046    0.012 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/legend.py:754(draw)
     1832    0.003    0.000    0.046    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:2453(transform_affine)
    60414    0.045    0.000    0.045    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/__init__.py:825(__getitem__)
     3122    0.007    0.000    0.045    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/transforms.py:2044(translate)
       35    0.001    0.000    0.044    0.001 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/axis.py:2054(get_tick_space)
47453/41107    0.030    0.000    0.044    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/artist.py:230(stale)
     2061    0.005    0.000    0.044    0.000 /Users/BallBlueMeercat/anaconda/lib/python3.6/site-packages/matplotlib/path.py:105(__init__)
